name,code,group,note
A.A._HUSSAIN_,[IMGSASMOS], Intl Militarized Groups,NA
A.H._LALA_,[IMGSASMOS], Intl Militarized Groups,NA
A.M._WANI_,[IMGKASMOS], Intl Militarized Groups,NA
A._A._HUSSAIN_,[IMGSASMOS], Intl Militarized Groups,NA
A._H._LALA_,[IMGSASMOS], Intl Militarized Groups,NA
A._M._WANI_,[IMGKASMOS], Intl Militarized Groups,NA
AA_HUSSAIN_,[IMGSASMOS], Intl Militarized Groups,NA
ABDULLAH_ANSHORI_,[IMGSEAMOSJMA], Intl Militarized Groups, senior leader
ABDULLAH_SUNGKAR_,[IMGSEAMOSJMA], Intl Militarized Groups, co-founder jma
ABDUL_KARIM_TUNDA_,[IMGSASMOS], Intl Militarized Groups, his goals are unclear
ABDUL_TURQ_,[IMGMOS], Intl Militarized Groups,MleH 10 Aug 2009
ABU_A._HUSSAIN_,[IMGSASMOS], Intl Militarized Groups,NA
ABU_ABDULLAH_,[IMGSASMOS], Intl Militarized Groups,NA
ABU_AL-WALID_,[IMGMOSRUSCNY], Intl Militarized Groups,NA
ABU_AYYUB_AL_MASRI_,[IMGMOSALQ], Intl Militarized Groups,NA
ABU_A_HUSSAIN_,[IMGSASMOS], Intl Militarized Groups,NA
ABU_BAKAR_,[IMGSEAMOSJMA], Intl Militarized Groups, spiritual leader of jemaah islamiyah
ABU_DJAFAR_,[IMGMOSRUSCNY], Intl Militarized Groups,NA
ABU_HAFS_AL_URDUNI_,[IMGMOSRUSCNY], Intl Militarized Groups,NA
ABU_HUSSAIN_,[IMGSASMOS], Intl Militarized Groups,NA
ABU_H_LALA_,[IMGSASMOS], Intl Militarized Groups,NA
ABU_MOHKTAR_,[IMGSEAMOSASF], Intl Militarized Groups,NA
ABU_MUSAB_,[IMGSEAMOSASF], Intl Militarized Groups,NA
ABU_OMAR_AL_SAIF_,[IMGMOSALQ], Intl Militarized Groups, mostly fought in Chechnya
ABU_RUSYDAN_,[IMGSEAMOSJMA], Intl Militarized Groups," spritual leader of jemaah islamiyah, alias of thoriqudin"
ABU_SALEM_,[IMGMOS], Intl Militarized Groups,MleH 11 Aug 2009
ABU_SARTAJ_,[IMGMOSALQ], Intl Militarized Groups,NA
ABU_SAYYAF_,[IMGSEAMOSASF], Intl Militarized Groups,NA
ABU_SOLAIMAN_,[IMGSEAMOSASF], Intl Militarized Groups,ELH 07 Jul 2009
ABU_TALHA_,[IMGSASMOS], Intl Militarized Groups,NA
AFTAB_AHMED_,[IMGSASMOS], Intl Militarized Groups,NA
AH_LALA_,[IMGSASMOS], Intl Militarized Groups,NA
AINAL,BAHRI_, Intl Militarized Groups, leader jma
ALTAF_HUSSAIN_,[IMGSASMOS], Intl Militarized Groups,NA
AL_HAWSAWI_,[IMGMOSALQ], Intl Militarized Groups,NA
AL_QA'IDA_,[IMGMOSALQ], Intl Militarized Groups,NA
AL_QAEDA_,[IMGMOSALQ], Intl Militarized Groups,NA
AL_QAEDA_IN_IRAQ_,[IMGMOSALQ], Intl Militarized Groups,NA
AL_QAEDA_LINKED_ABU_SAYYAF_,[IMGSEAMOSASF], Intl Militarized Groups,ELH 29 Jul 2009
AL_QAIDA_,[IMGMOSALQ], Intl Militarized Groups,NA
AMANULLAH_KHAN_,[IMGKASMOS], Intl Militarized Groups,NA
AM_WANI_,[IMGKASMOS], Intl Militarized Groups,NA
ARIF_HUSSAIN_,[IMGSASMOS], Intl Militarized Groups,NA
ASGAR_MUQADAM_,[IMGMOS], Intl Militarized Groups,MleH 10 Aug 2009
ASGHAR_MUKADAM_,[IMGMOS], Intl Militarized Groups,MleH 10 Aug 2009
ASGHAR_MUQADAM_,[IMGMOS], Intl Militarized Groups,MleH 10 Aug 2009
ASHFAQ_M,WANI_, Intl Militarized Groups,NA
ASHFAQ_WANI_,[IMGKASMOS], Intl Militarized Groups,NA
AZAHARI,BIN_HUSIN_, Intl Militarized Groups, chief bomb maker of jma
A_A_HUSSAIN_,[IMGSASMOS], Intl Militarized Groups,NA
A_H_LALA_,[IMGSASMOS], Intl Militarized Groups,NA
A_M_WANI_,[IMGKASMOS], Intl Militarized Groups,NA
BA'ASYIR_,[IMGSEAMOSJMA], Intl Militarized Groups," spiritual leader of jma, full name starts abu bakar"
BAKAR_BASHIR_,[IMGSEAMOSJMA], Intl Militarized Groups, spiritual leader of jemaah islamiyah
BASHIR_AHMED_,[IMGMOSALQ], Intl Militarized Groups,NA
BASHIR_MALWA_,[IMGMOSALQ], Intl Militarized Groups,NA
BEGUM_FARIDA_,[IMGKASMOS], Intl Militarized Groups,NA
BIN_ISOMODDIN_,[IMGSEAMOSJMA], Intl Militarized Groups, member jma
CAUCASIAN_MUJAHIDEEN_,[IMGMOSRUSCNY], Intl Militarized Groups,NA
COMMANDER_KASTARI_,[IMGSEAMOSJMA], Intl Militarized Groups, commander of jma
COMMANDER_KASTERI_,[IMGSEAMOSJMA], Intl Militarized Groups, commander of jma
COMMANDER_KHATTAB_,[IMGMOSRUSCNY], Intl Militarized Groups,NA
DULMATIN_,[IMGSEAMOSJMA], Intl Militarized Groups, senior leader jma
D_COMPANY_,[IMGMOS], Intl Militarized Groups,MleH 10 Aug 2009
EBU_ENES_,[IMGMOSRUSCNY], Intl Militarized Groups,NA
EL_QAIDA_,[IMGMOSALQ], Intl Militarized Groups,NA
EMIR_KHATTAB_,[IMGMOSRUSCNY], Intl Militarized Groups,NA
ENCEP_NURJAMAN_,[IMGSEAMOSJMA], Intl Militarized Groups," head of jma's consultative council, alias of hambali"
EXTREMIST_ABU_SAYYAF_,[IMGSEAMOSASF], Intl Militarized Groups,ELH 29 Jul 2009
FAROOQ_PAWALE_,[IMGMOS], Intl Militarized Groups,MleH 11 Aug 2009
FUSAKO_SHIGENOBU_,[IMGJPN], Intl Militarized Groups,NA
G.N._BUTT_,[IMGKASMOS], Intl Militarized Groups,NA
G._N._BUTT_,[IMGKASMOS], Intl Militarized Groups,NA
GHAZI_BABA_,[IMGKASMOS], Intl Militarized Groups,NA
GHULAM_BUTT_,[IMGKASMOS], Intl Militarized Groups,NA
GHULAM_N,BUTT_, Intl Militarized Groups,NA
GN_BUTT_,[IMGKASMOS], Intl Militarized Groups,NA
G_N_BUTT_,[IMGKASMOS], Intl Militarized Groups,NA
HAFIZ_SAEED_,[IMGSASMOS], Intl Militarized Groups,NA
HAMBALI_,[IMGSEAMOSJMA], Intl Militarized Groups, leader jma
HAMZAH_,[IMGSEAMOSJMA], Intl Militarized Groups," spritual leader of jemaah islamiyah, alias of thoriqudin"
HARAKUT_UL_JIHAD_E_ISLAMI_,[IMGSEAMOS], Intl Militarized Groups,NA
HARAKUT_UL_JIHAD_UL_ISLAMI_,[IMGSEAMOS], Intl Militarized Groups,NA
HARKAT_UL_ANSAR_,[IMGKASMOS], Intl Militarized Groups,NA
HARKAT_UL_MUJAHIDEEN_,[IMGKASMOS], Intl Militarized Groups,NA
HATAFAKA_LALA_,[IMGSASMOS], Intl Militarized Groups,NA
IBN_AL-KHATTAB_,[IMGMOSRUSCNY], Intl Militarized Groups,NA
INTERNATIONAL_ISLAMIC_BATTALION_,[IMGMOSRUSCNY], Intl Militarized Groups,NA
INTERNATIONAL_SIKH_YOUTH_FEDERATION_,[IMGSIK], Intl Militarized Groups,NA
ISLAMBOULI_BRIGADE_,[IMGMOSALQ], Intl Militarized Groups, its association with ALQ isn't entire certain
ISLAMIC_INTERNATIONAL_BRIGADE_,[IMGMOSRUSCNY], Intl Militarized Groups,NA
ISLAMIC_PEACEKEEPING_ARMY_,[IMGMOSRUSCNY], Intl Militarized Groups,NA
ISLAMIC_PEACEKEEPING_BRIGADE_,[IMGMOSRUSCNY], Intl Militarized Groups,NA
ISNILON_,[IMGSEAMOSASF], Intl Militarized Groups,NA
ISNILON_T,HAPILON_, Intl Militarized Groups,NA
